# ----------------------------------------
# Traffic acquisition: Session source / medium
# Account: Dar Mansour - Morocco's Kitchen
# Property: Dar Mansour - Morocco's Kitchen
# ----------------------------------------
# 
# All Users
# Start date: 20260701
# End date: 20260825
Session source / medium,Landing page + query string,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
(direct) / (none),/,230,92,0.4,45.23913043478261,5.104347826086957,1174,4,0.017391304347826087,0
google / organic,/,137,87,0.635036496350365,85.61313868613139,6.138686131386861,841,8,0.051094890510948905,0
(direct) / (none),/index.html,101,61,0.6039603960396039,95.25742574257426,6.6138613861386135,668,0,0,0
(direct) / (none),/moroccan-menu-koh-phangan.html,69,34,0.4927536231884058,35.231884057971016,4.304347826086956,297,2,0.028985507246376812,0
google / organic,/journal-best-breakfast-brunch-koh-phangan.html,34,10,0.29411764705882354,28.235294117647058,3.7941176470588234,129,0,0,0
(direct) / (none),/dar-mansour-founders-vision.html,30,4,0.13333333333333333,11.5,2.6,78,0,0,0
google / organic,(not set),29,0,0,0,2,58,0,0,0
google / organic,/journal-where-to-watch-sunset-koh-phangan.html,29,7,0.2413793103448276,39.172413793103445,4.793103448275862,139,0,0,0
google / organic,/journal-best-restaurants-koh-phangan.html,28,18,0.6428571428571429,83.57142857142857,4.75,133,1,0.03571428571428571,0
google / organic,/journal-where-to-eat-sri-thanu.html,27,12,0.4444444444444444,91.62962962962963,3.6666666666666665,99,0,0,0
google / organic,/index.html,21,13,0.6190476190476191,97.14285714285714,10.238095238095237,215,0,0,0
(direct) / (none),(not set),16,0,0,0,2,32,0,0,0
google / organic,/journal-where-to-eat-thong-sala-koh-phangan.html,16,9,0.5625,58.125,4.6875,75,0,0,0
google / organic,/moroccan-menu-koh-phangan.html,16,2,0.125,5.5,2.625,42,0,0,0
chatgpt.com / ai-assistant,/,15,10,0.6666666666666666,28.533333333333335,4.933333333333334,74,2,0.06666666666666667,0
google / organic,/journal-best-thai-restaurants-koh-phangan.html,15,11,0.7333333333333333,42.6,4.466666666666667,67,0,0,0
