name,section,area_hint,status,current_link,new_link,official_address
Mama KOP,Traditional Thai Cuisine,"Directly on Hin Kong Beach, a short stroll south of L'Alcove.",generic,https://www.google.com/maps/search/?api=1&query=Mama+KOP+Hin+Kong+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Mama+KOP+19+Hin+Kong+Road%2C+Ko+Pha-ngan+84280,"19 Hin Kong Road, Ko Pha-ngan 84280"
Restaurant Sunshine,Traditional Thai Cuisine,"On the main road between Thong Sala and Chaloklum, a few metres past Pum Pui Restaurant on the same side.",generic,https://www.google.com/maps/search/?api=1&query=Restaurant+Sunshine+Sri+Thanu+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Restaurant+Sunshine+52%2F23+Moo+8%2C+Sri+Thanu%2C+Ko+Pha-ngan+84280,"52/23 Moo 8, Sri Thanu, Ko Pha-ngan 84280"
No Name Kitchen Phangan,Traditional Thai Cuisine,"On the main road between Thong Sala and Baan Tai, just past Phangan Food Court coming from Thong Sala.",generic,https://www.google.com/maps/search/?api=1&query=No+Name+Kitchen+Phangan+Koh+Phangan,,
Sonolito Thai Food,Traditional Thai Cuisine,"On the main road between Hin Kong and Sri Thanu, a little north of Indigo Specialty Coffee & Bakery.",generic,https://www.google.com/maps/search/?api=1&query=Sonolito+Thai+Food+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Sonolito+Thai+Food+14%2F2+Moo+8%2C+Sri+Thanu%2C+Ko+Pha-ngan+84280,"14/2 Moo 8, Sri Thanu, Ko Pha-ngan 84280"
DAO by Chef Nir Mesika,Contemporary Thai & Chef-Led Dining,"In a restored Thai house in Thong Sala, a few minutes from the ferry pier.",generic,https://www.google.com/maps/search/?api=1&query=DAO+by+Chef+Nir+Mesika+Koh+Phangan,,
Dear Phangan,Contemporary Thai & Chef-Led Dining,"Just past Koh Phangan Hospital, on the road to Wok Tum towards Hin Kong.",generic,https://www.google.com/maps/search/?api=1&query=Dear+Phangan+restaurant+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Dear+Phangan+13%2F9+Moo+4%2C+Wok+Tum%2C+Ko+Pha-ngan+84280,"13/9 Moo 4, Wok Tum, Ko Pha-ngan 84280"
Thai Element,Contemporary Thai & Chef-Led Dining,"On the main road between Hin Kong and Sri Thanu, almost opposite Dar Mansour – Morocco's Kitchen.",ok,https://maps.app.goo.gl/Th29wHxKmtd1TKGq8,,
Fisherman's Restaurant & Bar,Seafood,"Beside the small pier in Baan Tai, on the south coast.",generic,https://www.google.com/maps/search/?api=1&query=Fisherman%27s+Restaurant+Bar+Baan+Tai+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Fisherman%27s+Restaurant+%26+Bar+30%2F6+Moo+1%2C+Ban+Tai+Pier%2C+Ko+Pha-ngan+84280,"30/6 Moo 1, Ban Tai Pier, Ko Pha-ngan 84280"
Salt. Seafood Restaurant & Bar,Seafood,"On the Thong Sala waterfront, a short walk from the ferry pier and Raja Ferry terminal.",generic,https://www.google.com/maps/search/?api=1&query=Salt+Seafood+Restaurant+Thong+Sala+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Salt.+Seafood+Restaurant+%26+Bar+26+Moo+9%2C+Thong+Sala%2C+Ko+Pha-ngan+84280,"26 Moo 9, Thong Sala, Ko Pha-ngan 84280"
La Ceviche's – Ceviche Bar,Seafood,Inside Thong Sala Fresh Market.,generic,https://www.google.com/maps/search/?api=1&query=La+Ceviche%27s+Ceviche+Bar+Thong+Sala+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=La+Ceviche%27s+%E2%80%93+Ceviche+Bar+Thong+Sala+Fresh+Market%2C+Ban+Tai%2C+Ko+Pha-ngan+84280,"Thong Sala Fresh Market, Ban Tai, Ko Pha-ngan 84280"
