guide,url,previous_last_crawl,previous_checkpoint_date,current_last_crawl,post_147_recrawl,evidence_source,notes
Best Restaurants in Koh Phangan,https://darmansour.com/journal-best-restaurants-koh-phangan.html,2026-09-02,2026-09-23,2026-09-02,NO POST-#147 RECRAWL OBSERVED,"GSC URL Inspection, observed 2026-09-23","Displayed 'Sep 2, 2026, 1:01:26 PM' (GSC property timezone not exposed). Indexed; Googlebot smartphone; fetch successful; Google-selected canonical = inspected URL. Observation made AFTER #147, so the absence of a later crawl is informative."
Best Cafes in Koh Phangan,https://darmansour.com/journal-best-cafes-koh-phangan.html,2026-08-20,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest reliable value predates #147 by 26 days; cannot determine post-#147 status.
Best Beaches in Koh Phangan,https://darmansour.com/journal-best-beaches-koh-phangan.html,2026-09-02,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest observation predates #147 by 8 days; cannot determine post-#147 status.
Where to Stay in Koh Phangan,https://darmansour.com/journal-where-to-stay-koh-phangan.html,2026-09-02,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest observation predates #147; cannot determine post-#147 status.
Where to Eat in Thong Sala,https://darmansour.com/journal-where-to-eat-thong-sala-koh-phangan.html,2026-09-02,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest observation predates #147; cannot determine post-#147 status.
Romantic Dinner in Koh Phangan,https://darmansour.com/journal-romantic-dinner-koh-phangan.html,2026-09-02,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest observation predates #147; cannot determine post-#147 status.
Best Thai Restaurants in Koh Phangan,https://darmansour.com/journal-best-thai-restaurants-koh-phangan.html,2026-08-21,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest reliable value predates #147 by 25 days; also had no recrawl between checkpoints #1 and #2.
Best Breakfast & Brunch in Koh Phangan,https://darmansour.com/journal-best-breakfast-brunch-koh-phangan.html,2026-09-02,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest observation predates #147; cannot determine post-#147 status.
Where to Eat in Hin Kong,https://darmansour.com/journal-where-to-eat-hin-kong.html,2026-09-02,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest observation predates #147; cannot determine post-#147 status.
Where to Eat in Sri Thanu,https://darmansour.com/journal-where-to-eat-sri-thanu.html,2026-09-02,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest observation predates #147; cannot determine post-#147 status.
Best Sunset Spots in Koh Phangan,https://darmansour.com/journal-where-to-watch-sunset-koh-phangan.html,2026-08-27,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest reliable value predates #147 by 19 days; also had no recrawl between checkpoints #1 and #2.
Best Things to Do in Koh Phangan,https://darmansour.com/journal-best-things-to-do-koh-phangan.html,2026-09-04,2026-09-07,,UNKNOWN - NEW GSC INSPECTION REQUIRED,"GSC Coverage export, Crawl Checkpoint #2 (2026-09-07)",Latest observation predates #147 by 11 days; cannot determine post-#147 status.
