prompt_id,prompt,intent,cluster,target_page,m0_corpus_depth,m0_requested_depth,m0_retrieval_status,m0_diagnostic,m0_dar_mansour_url,m0_dar_mansour_best_rank,m0_dar_mansour_url_count,m0_selection_3runs,m0_evidence_source,m1_corpus_depth,m1_retrieval_status,m1_dar_mansour_url,m1_rank,m1_selection_3runs,change_classification,notes,m1_dar_mansour_url_count,m1_corpus_churn_pct,m1_evidence_source
1,What are the best restaurants in Koh Phangan?,Commercial,Restaurants,Best Restaurants,9,20,NOT_RETRIEVED,NOT_RETRIEVED,,,0,,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,NOT_RETRIEVED,,,PENDING - Gemini 17/60,STILL NOT RETRIEVED,,0,42,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
2,Where should I eat in Koh Phangan?,Commercial,Restaurants,Best Restaurants,10,20,NOT_RETRIEVED,NOT_RETRIEVED,,,0,,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,NOT_RETRIEVED,,,PENDING - Gemini 17/60,STILL NOT RETRIEVED,,0,33,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
3,What are the best restaurants on the west coast of Koh Phangan?,Commercial,Restaurants,Best Restaurants / area guides,10,20,NOT_RETRIEVED,NOT_RETRIEVED,,,0,,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,NOT_RETRIEVED,,,PENDING - Gemini 17/60,STILL NOT RETRIEVED,,0,33,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
4,What is the best Moroccan restaurant in Koh Phangan?,Commercial,Moroccan,Homepage / Restaurant,10,20,RETRIEVED,RETRIEVED_STABLY_SELECTED,/ ; /moroccan-restaurant-reviews-koh-phangan.html,2,2,3/3,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,RETRIEVED,/ ; /moroccan-restaurant-reviews-koh-phangan.html,1,PENDING - Gemini 17/60,STILL RETRIEVED,,2,0,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
5,Where can I eat authentic Moroccan food in Koh Phangan?,Commercial,Moroccan,Homepage / Menu,9,20,RETRIEVED,RETRIEVED_STABLY_SELECTED,/,2,1,3/3,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",9,RETRIEVED,/,1,PENDING - Gemini 17/60,STILL RETRIEVED,,1,0,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
6,What are the best romantic restaurants in Koh Phangan?,Commercial,Romantic,Romantic Dinner,10,20,RETRIEVED,RETRIEVED_STABLY_SELECTED,/journal-romantic-dinner-koh-phangan.html,10,1,3/3,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,RETRIEVED,/journal-romantic-dinner-koh-phangan.html,10,PENDING - Gemini 17/60,STILL RETRIEVED,,1,46,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
7,Where can I have a romantic dinner in Koh Phangan?,Commercial,Romantic,Romantic Dinner,10,20,RETRIEVED,RETRIEVED_STABLY_SELECTED,/journal-romantic-dinner-koh-phangan.html,9,1,3/3,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,NOT_RETRIEVED,,,PENDING - Gemini 17/60,LOST RETRIEVED,,0,46,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
8,Where should I go for a special occasion dinner in Koh Phangan?,Commercial,Romantic,Romantic Dinner / Private Dining,10,20,NOT_RETRIEVED,NOT_RETRIEVED,,,0,,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,NOT_RETRIEVED,,,PENDING - Gemini 17/60,STILL NOT RETRIEVED,,0,46,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
9,What are the best Thai restaurants in Koh Phangan?,Commercial,Thai food,Best Thai Restaurants,10,20,NOT_RETRIEVED,NOT_RETRIEVED,,,0,,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,NOT_RETRIEVED,,,PENDING - Gemini 17/60,STILL NOT RETRIEVED,,0,0,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
10,What are the best cafés in Koh Phangan?,Commercial,Cafés,Best Cafés,9,20,NOT_RETRIEVED,NOT_RETRIEVED,,,0,,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,RETRIEVED,/journal-best-cafes-koh-phangan.html,9,PENDING - Gemini 17/60,NEW RETRIEVED,,1,27,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
11,What are the best beaches in Koh Phangan?,Editorial,Beaches,Best Beaches,9,20,NOT_RETRIEVED,NOT_RETRIEVED,,,0,,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",9,NOT_RETRIEVED,,,PENDING - Gemini 17/60,STILL NOT RETRIEVED,,0,20,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
12,"Which beach in Koh Phangan is best for swimming, snorkelling and sunsets?",Editorial,Beaches,Best Beaches,8,20,NOT_RETRIEVED,NOT_RETRIEVED,,,0,,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,RETRIEVED,/journal-best-beaches-koh-phangan.html,5,PENDING - Gemini 17/60,NEW RETRIEVED,,1,62,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
13,Where are the best places to watch sunset in Koh Phangan?,Editorial,Sunset,Sunset,10,20,RETRIEVED,RETRIEVED_STABLY_SELECTED,/journal-where-to-watch-sunset-koh-phangan.html,8,1,3/3,"M0 minimal corpus extraction (rank|domain|path|title), received 2026-09-23",10,RETRIEVED,/journal-where-to-watch-sunset-koh-phangan.html,8,PENDING - Gemini 17/60,STILL RETRIEVED,,1,33,"M1 minimal corpus extraction (prompt_id|rank|domain|path|title), received 2026-09-23"
